"1642911	Jakarta	ID	-6.21462	106.84513"
"1816670	Beijing	CN	39.9075	116.39723"
"1835848	Seoul	KR	37.56826	126.97783"
"1609350	Bangkok	TH	13.75398	100.50144"
"3530597	Mexico City	MX	19.42847	-99.12766"
"1701668	Manila	PH	14.6042	120.9822"
"360630	Cairo	EG	30.06263	31.24967"
"1850147	Tokyo	JP	35.6895	139.69171"
"3435910	Buenos Aires	AR	-34.61315	-58.37723"
"1668341	Taipei	TW	25.04776	121.53185"
"98182	Baghdad	IQ	33.34058	44.40088"
"1185241	Dhaka	BD	23.7104	90.40744"
"3936456	Lima	PE	-12.04318	-77.02824"
"3871336	Santiago	CL	-33.45694	-70.64827"
"1138958	Kabul	AF	34.52813	69.17233"
"1871859	Pyongyang	KP	39.03385	125.75432"
"344979	Addis Ababa	ET	9.02497	38.74689"
"3553478	Havana	CU	23.13302	-82.38304"
"1283240	Kathmandu	NP	27.70169	85.3206"
"3646738	Caracas	VE	10.48801	-66.87919"
"108410	Riyadh	SA	24.68773	46.72185"
"611717	Tbilisi	GE	41.69411	44.83368"
"616052	Yerevan	AM	40.18111	44.51361"
"587084	Baku	AZ	40.37767	49.89201"
"1040652	Maputo	MZ	-25.96528	32.58917"
"53654	Mogadishu	SO	2.03711	45.34375"
"71137	Sanaa	YE	15.35472	44.20667"
"379252	Khartoum	SD	15.55177	32.53241"
"3441575	Montevideo	UY	-34.83346	-56.16735"
"1821306	Phnom Penh	KH	11.56245	104.91601"
"170654	Damascus	SY	33.5102	36.29128"
"184745	Nairobi	KE	-1.28333	36.81667"
"250441	Amman	JO	31.95522	35.94503"
"1735161	Kuala Lumpur	MY	3.1412	101.68653"
"456172	Riga	LV	56.946	24.10589"
"2422465	Conakry	GN	9.53795	-13.67729"
"786714	Pristina	XK	42.67272	21.16688"
"3191281	Sarajevo	BA	43.84864	18.35644"
"3183875	Tirana	AL	41.3275	19.81889"
"785842	Skopje	MK	42	21.43333"
